pde,model,n,grid_size,adaptive,epoch,phase,total,ic,bc,l2,w_pde,w_ic,w_bc
62930.4609375,MLP,8,,True,3200,adam,63351.70703125,0.0,4.375590801239014,5.0716071128845215,1.0,1.0,96.27139377877832
59222.046875,MLP,8,,True,3300,adam,59656.71484375,0.0,4.49761438369751,4.983414173126221,1.0,1.0,96.6442544009005
55636.2109375,MLP,8,,True,3400,adam,56087.1015625,0.0,4.649317741394043,4.925602912902832,1.0,1.0,96.97982896081045
51862.1640625,MLP,8,,True,3500,adam,52320.21875,0.0,4.70851993560791,4.854374885559082,1.0,1.0,97.28184606472941
48861.51953125,MLP,8,,True,3600,adam,49312.5390625,0.0,4.623290538787842,4.728292942047119,1.0,1.0,97.55366145825647
46277.5390625,MLP,8,,True,3700,adam,46714.58984375,0.0,4.4688849449157715,4.571813106536865,1.0,1.0,97.79829531243082
43255.94140625,MLP,8,,True,3800,adam,43652.3203125,0.0,4.043939113616943,4.306122303009033,1.0,1.0,98.01846578118774
39977.49609375,MLP,8,,True,3900,adam,40342.10546875,0.0,3.712301254272461,4.1307854652404785,1.0,1.0,98.21661920306897
36800.28515625,MLP,8,,True,4000,adam,37148.91796875,0.0,3.5431807041168213,3.9958949089050293,1.0,1.0,98.39495728276208
33846.71484375,MLP,8,,True,4100,adam,34192.703125,0.0,3.5105817317962646,3.9262354373931885,1.0,1.0,98.55546155448587
30650.0390625,MLP,8,,True,4200,adam,30994.46875,0.0,3.4896671772003174,3.8653218746185303,1.0,1.0,98.6999153990373
27866.705078125,MLP,8,,True,4300,adam,28196.82421875,0.0,3.3402819633483887,3.7657461166381836,1.0,1.0,98.82992385913357
25385.041015625,MLP,8,,True,4400,adam,25691.6484375,0.0,3.098706007003784,3.6337616443634033,1.0,1.0,98.94693147322022
23060.408203125,MLP,8,,True,4500,adam,23353.109375,0.0,2.9550180435180664,3.5212745666503906,1.0,1.0,99.0522383258982
20741.853515625,MLP,8,,True,4600,adam,21027.548828125,0.0,2.881524085998535,3.4210140705108643,1.0,1.0,99.14701449330839
18563.982421875,MLP,8,,True,4700,adam,18841.0,0.0,2.791604518890381,3.259335517883301,1.0,1.0,99.23231304397756
16622.607421875,MLP,8,,True,4800,adam,16886.806640625,0.0,2.660377264022827,3.102670669555664,1.0,1.0,99.3090817395798
14393.58984375,MLP,8,,True,4900,adam,14649.3330078125,0.0,2.5734312534332275,2.972055196762085,1.0,1.0,99.37817356562182
12441.3603515625,MLP,8,,True,5000,adam,12688.6201171875,0.0,2.486511707305908,2.886812210083008,1.0,1.0,99.44035620905964
10910.10546875,MLP,8,,True,5100,adam,11149.73828125,0.0,2.408461570739746,2.807746171951294,1.0,1.0,99.49632058815368
9343.62890625,MLP,8,,True,5200,adam,9575.181640625,0.0,2.3260762691497803,2.722036838531494,1.0,1.0,99.54668852933831
8090.97509765625,MLP,8,,True,5300,adam,8314.7939453125,0.0,2.247358560562134,2.6464405059814453,1.0,1.0,99.59201967640448
7283.3994140625,MLP,8,,True,5400,adam,7499.72802734375,0.0,2.171260356903076,2.5842301845550537,1.0,1.0,99.63281770876404
6596.90869140625,MLP,8,,True,5500,adam,6803.90380859375,0.0,2.0768134593963623,2.515584707260132,1.0,1.0,99.66953593788763
6010.3408203125,MLP,8,,True,5600,adam,6207.22900390625,0.0,1.9747543334960938,2.44686222076416,1.0,1.0,99.70258234409887
5503.28173828125,MLP,8,,True,5700,adam,5689.85546875,0.0,1.8707462549209595,2.383038282394409,1.0,1.0,99.73232410968899
4992.6630859375,MLP,8,,True,5800,adam,5166.607421875,0.0,1.7436434030532837,2.318493127822876,1.0,1.0,99.7590916987201
4402.88134765625,MLP,8,,True,5900,adam,4561.19873046875,0.0,1.5866153240203857,2.2613985538482666,1.0,1.0,99.78318252884809
3876.013427734375,MLP,8,,True,6000,adam,4020.268310546875,0.0,1.4453682899475098,2.191120147705078,1.0,1.0,99.80486427596328
3578.66162109375,MLP,8,,True,6100,adam,3714.01953125,0.0,1.355959177017212,2.1214590072631836,1.0,1.0,99.82437784836695
3333.4521484375,MLP,8,,True,6200,adam,3461.638427734375,0.0,1.2838917970657349,2.053863763809204,1.0,1.0,99.84194006353026
3135.474365234375,MLP,8,,True,6300,adam,3257.171630859375,0.0,1.2187061309814453,1.9911324977874756,1.0,1.0,99.85774605717724
2996.52880859375,MLP,8,,True,6400,adam,3113.41455078125,0.0,1.1703550815582275,1.9446290731430054,1.0,1.0,99.87197145145952
2869.17138671875,MLP,8,,True,6500,adam,2981.535400390625,0.0,1.1249356269836426,1.9019742012023926,1.0,1.0,99.88477430631356
2751.199951171875,MLP,8,,True,6600,adam,2859.26123046875,0.0,1.081734299659729,1.862637996673584,1.0,1.0,99.89629687568221
2634.789794921875,MLP,8,,True,6700,adam,2738.473388671875,0.0,1.037804126739502,1.8240859508514404,1.0,1.0,99.90666718811399
2532.212158203125,MLP,8,,True,6800,adam,2631.948486328125,0.0,0.9982010722160339,1.7902350425720215,1.0,1.0,99.91600046930259
2428.354736328125,MLP,8,,True,6900,adam,2523.968017578125,0.0,0.9568555355072021,1.755926251411438,1.0,1.0,99.92440042237233
2334.520263671875,MLP,8,,True,7000,adam,2426.31201171875,0.0,0.9185413122177124,1.7241586446762085,1.0,1.0,99.9319603801351
2249.717529296875,MLP,8,,True,7100,adam,2337.93017578125,0.0,0.8826675415039062,1.6948037147521973,1.0,1.0,99.93876434212159
2174.369384765625,MLP,8,,True,7200,adam,2259.337646484375,0.0,0.8501501679420471,1.6680828332901,1.0,1.0,99.94488790790943
2104.701171875,MLP,8,,True,7300,adam,2186.634521484375,0.0,0.819739043712616,1.6425880193710327,1.0,1.0,99.9503991171185
2037.983642578125,MLP,8,,True,7400,adam,2117.045654296875,0.0,0.790973424911499,1.6178257465362549,1.0,1.0,99.95535920540665
1986.0821533203125,MLP,8,,True,7500,adam,2062.9404296875,0.0,0.7688913941383362,1.5982651710510254,1.0,1.0,99.95982328486599
1934.6483154296875,MLP,8,,True,7600,adam,2009.318359375,0.0,0.7469701170921326,1.5782729387283325,1.0,1.0,99.9638409563794
1887.5826416015625,MLP,8,,True,7700,adam,1960.273193359375,0.0,0.7271415591239929,1.5596901178359985,1.0,1.0,99.96745686074146
1842.7701416015625,MLP,8,,True,7800,adam,1913.5965576171875,0.0,0.708471953868866,1.5415235757827759,1.0,1.0,99.97071117466731
1799.0150146484375,MLP,8,,True,7900,adam,1868.037841796875,0.0,0.6904106736183167,1.5231668949127197,1.0,1.0,99.97364005720058
1756.0501708984375,MLP,8,,True,8000,adam,1823.326416015625,0.0,0.6729220151901245,1.5045236349105835,1.0,1.0,99.97627605148053
1715.2210693359375,MLP,8,,True,8100,adam,1780.86328125,0.0,0.6565620303153992,1.4860591888427734,1.0,1.0,99.97864844633247
